family,method,p1_true,p2_true,tau_true,J,rep,obs,secs,acc,ess_p2,ess_tau,p1,p1_cilen,p1_cov,p2,p2_cilen,p2_cov,tau,tau_cilen,tau_cov
rnn,RNN-ABC,0.0001,0.01,3.0,100,0,0.3545931311129315,1.8387532234191895,0.12137379126375458,14.26220390869962,19.060594156415632,0.01876260774753672,0.03620334287589383,0,0.0008314232945804513,0.007887232562673914,0,6.617369308943292,6.874932322943481,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,1,0.34805602082884446,1.8299040794372559,0.12937645881960655,3.254976071320123,11.510266533805273,0.01374510566288642,0.0441185085475883,1,0.00464061665252393,0.025161661584095142,1,5.832946434469684,8.56399401714403,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,3,0.34826652280891823,1.809372901916504,0.11870623541180393,10.911170418746638,10.436691032903548,0.005276032277351928,0.032592775090617816,1,0.013325501673344486,0.04157926991956362,1,4.893363549342146,9.635405385217988,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,4,0.3316346509921905,1.830604076385498,0.13271090363454485,7.486963119944815,9.436879510289772,0.008971370965780124,0.03569910627317341,1,0.005949856215675276,0.025744631069894608,1,6.171728605592281,9.414950916095616,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,2,0.3537659665940649,1.8526248931884766,0.13604534844948316,9.859623154565032,7.383865508429865,0.010133793352050589,0.04926776821643204,1,0.00780030352880125,0.017669775038701506,1,4.790057863374542,9.495093074697692,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,6,0.34907226588054713,1.8036198616027832,0.14004668222740912,6.513221006299783,30.1766200314236,0.01908058363939216,0.03859701695967657,0,0.0010637569891535396,0.007170595059334639,0,6.545114745130172,5.677898121764377,0
rnn,RNN-ABC,0.0001,0.01,3.0,100,5,0.3511469273463375,1.8318278789520264,0.11637212404134711,18.213219201625623,10.685826567949697,0.0031348390965903407,0.023698123400270225,1,0.010230445772488132,0.02012159797496061,1,3.816438095852666,8.148610574479019,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,10,0.34874337766869884,1.8362338542938232,0.11603867955985328,12.95348649346323,14.14701489019524,0.008215493346406458,0.0491888394627112,1,0.01431359692046598,0.041769268873021556,1,5.656742008979541,9.357338833579773,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,7,0.342881020903345,1.8607549667358398,0.13137712570856952,10.202109745878895,13.101698557551583,0.005988121014028895,0.029376140188008576,1,0.008741114133274415,0.020928969309412935,1,4.7805122956600234,8.71085610305162,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,9,0.3618932298167794,1.83439302444458,0.12270756918972991,7.247339651619051,9.302547539749693,0.0069666067120248126,0.03666802730154092,1,0.010556861103399658,0.02772111358195682,1,5.734905963551903,8.868816924455823,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,11,0.3458800514601541,1.843719720840454,0.13504501500500166,3.8226529783733882,11.269796424888755,0.01224958852335126,0.036896749051785624,1,0.007781167177405034,0.045124907359967534,1,6.279290883528354,8.801492704665353,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,8,0.35202295416231294,1.860112190246582,0.10536845615205068,14.057715128676342,9.443292732349597,0.0033518480383917977,0.0226766301484312,1,0.013626332809972636,0.038975844870036074,1,5.076606031701453,8.748765758194358,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,12,0.3500848183773366,1.877472162246704,0.12604201400466822,19.8403997207503,14.946977567227917,0.007775547255732204,0.042608117117490435,1,0.010133283398085745,0.03971607123260207,1,4.336424406903288,9.142105734598907,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,0,0.23801101373851008,1.8274881839752197,0.14971657219073026,3.5180315838412324,10.487992564415004,0.00938021832775561,0.04305563421777713,1,0.0020024765240468133,0.010033880472229912,1,5.649861655955865,8.93649347102814,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,14,0.3426861408671848,1.8749990463256836,0.12537512504168055,4.236089483539132,10.092072329574968,0.012167861728416636,0.04283421766956561,1,0.0053705124200781355,0.020176372049195316,1,6.257984167899711,9.089924823883452,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,13,0.3400954907149223,1.8803389072418213,0.1407135711903968,5.846423971115705,9.98520331443883,0.00955259855188425,0.039841913628900605,1,0.009109724163965433,0.03100740281755043,1,4.837856094429293,8.972120830504743,1
rnn,RNN-ABC,0.0001,0.01,7.0,100,1,0.23687849388068602,1.8673017024993896,0.13871290430143382,13.324096607409333,9.578470526909955,0.006566392722184229,0.026775594759621366,1,0.0021131867937698497,0.007244923822403375,0,5.719328583221815,9.43951419533111,1
rnn,RNN-ABC,0.0001,0.01,3.0,100,15,0.3569561059043137,2.011425018310547,0.11670556852284095,16.227416753100634,22.02857741007756,0.0029644992222110983,0.021580974267220204,1,0.011591987318351642,0.019053001375040145,1,4.484341657366332,8.628167636777171,1
