p_true,a,delta,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_cilo,ABC-MCMC_cihi,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_cilo,GPS-ABC_cihi,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_cilo,DNN-ABC_cihi,DNN-ABC_acc
0.001,1.0,1.0,100,15,0.06672275290988804,0.0007748733360469773,0.0008338665319893955,0.0008720279813567571,0.0008625808254234917,0.00048685725731779705,0.0013494380827412888,0.5158597662771286,0.0006379354454511769,0.0012404252471665863,0.00019576250549027785,0.0014361877526568641,0.8046744574290484,0.0008892366196182379,0.0008258821108135026,0.0005471923070968597,0.0013730744179103623,0.5843071786310517
0.001,1.0,1.0,100,24,0.07317069120440907,0.0007486731650631628,0.0008021903848410461,0.0010036493336014428,0.001141936893626409,0.0005639049208358245,0.0017058418144622336,0.49081803005008345,0.0008494788133445953,0.0016138105107793472,0.0002563066580749355,0.0018701171688542827,0.7712854757929883,0.001009318268616952,0.0009020013571990201,0.000542978177263657,0.0014449795344626771,0.6160267111853088
0.001,1.0,1.0,100,21,0.06704708292325356,0.0007004529061848119,0.000752677149633267,0.0008339417474680746,0.0008523480874887566,0.0004533640994523334,0.00130571218694109,0.5292153589315526,0.0006927814342725709,0.0013512285413514028,0.00025276045248142227,0.001603988993832825,0.8213689482470785,0.0007992954749483278,0.0006969715268739113,0.0004894268291062149,0.0011863983559801262,0.6343906510851419
0.001,1.0,1.0,100,11,0.06897419048724265,0.0008704965045556179,0.0009344890340810395,0.0008861077446081537,0.0008004860128523416,0.0005282719322291087,0.0013287579450814502,0.5175292153589316,0.000691306608116487,0.0014106843228264701,0.00023487439359961028,0.0016455587164260804,0.8130217028380634,0.0007915369031518113,0.0008392821908912088,0.0004648556898164232,0.001304137880707632,0.5809682804674458
0.001,1.0,1.0,100,13,0.06736045662079507,0.0010338218663419885,0.0011107544765679093,0.0008206552295010775,0.0007060698850925428,0.0004781101102950262,0.001184179995387569,0.5175292153589316,0.0007754281999879366,0.0016195453928184583,0.00023866940144786738,0.0018582147942663256,0.8280467445742905,0.0008363795202346413,0.0008601878842674068,0.0004765195884298748,0.0013367074726972816,0.6043405676126878
0.001,1.0,1.0,100,29,0.05741373869921891,0.0006032627183367167,0.0006487086576805372,0.0005810223366111365,0.0005268459137411118,0.0003562806947283093,0.0008831266084694211,0.5175292153589316,0.0005118525630525663,0.0009985972995708839,0.0001347998713771172,0.0011333971709480012,0.8030050083472454,0.0006039149269649568,0.0005915641333101228,0.00035780761938153285,0.0009493717526916556,0.6243739565943238
0.001,1.0,1.0,100,27,0.06856637037619459,0.0005896767833458161,0.000633781635232062,0.0008098557894765735,0.0011471235301489554,0.00034795578866236225,0.0014950793188113177,0.5041736227045075,0.0007311217927886261,0.0018306212928015243,0.00019473898545076834,0.0020253602782522927,0.8330550918196995,0.0008629142969918048,0.0007369317010916777,0.0005432811132939418,0.0012802128143856195,0.5926544240400667
0.001,1.0,1.0,100,20,0.06356101528690536,0.0008758487566836726,0.0009407132189312266,0.0007190301708398922,0.0006920754746562657,0.00042270558538413754,0.0011147810600404032,0.5191986644407346,0.0005175064605441465,0.0011926590619887045,0.0001675107043995703,0.0013601697663882747,0.7863105175292153,0.0006563011020505146,0.0007077693505492075,0.0003145322321207865,0.001022301582669994,0.5926544240400667
0.001,1.0,1.0,100,23,0.06480368659214865,0.001041279017509722,0.0011201296199078979,0.000714340135567705,0.0008947145365723081,0.00022058902904668084,0.001115303565618989,0.5208681135225376,0.0007064363704141481,0.001358614215406266,0.0002474128014425719,0.0016060270168488378,0.7829716193656093,0.0007283233467254126,0.000654686591839843,0.0004387711562311841,0.0010934577480710272,0.6343906510851419
0.001,1.0,0.5,100,12,0.04824048322106726,0.00032493279906292694,0.0003493066145046644,0.001007437797337904,0.0006355833697565695,0.0006988769408863017,0.0013344603106428712,0.38898163606010017,0.0010234396729284555,0.0023249161688060314,0.00032668870959923164,0.002651604878405263,0.7813021702838063,0.000942835532697022,0.0006071047107675885,0.0006274377471707808,0.0012345424579383692,0.4958263772954925
0.001,1.0,0.5,100,9,0.047745046192878296,0.00025633780198469625,0.0002757800705524995,0.0009674767148317957,0.000732836345858421,0.0006861693032297066,0.0014190056490881275,0.4257095158597663,0.0009365798761468706,0.0013580411157725221,0.00041954263338098846,0.0017775837491535106,0.8163606010016694,0.0009514453045355485,0.0006181523786723032,0.000655536844552125,0.0012736892232244282,0.48080133555926546
0.001,1.0,1.0,100,31,0.08150469517868462,0.001063892261997046,0.0011435406952584857,0.001217870864332135,0.001073385959042893,0.0007034846816603857,0.0017768706407032787,0.49248747913188645,0.0008710100269808053,0.0015447250137376237,0.0003112742519375166,0.0018559992656751402,0.8113522537562604,0.001192343546937123,0.000991113916907775,0.0007534523608826566,0.0017445662777904316,0.5993322203672788
0.001,1.0,1.0,100,30,0.06548159891774488,0.0011192093887656407,0.0012015597712663772,0.0008322586812671811,0.0006948418017798918,0.0005059271754500292,0.001200768977229921,0.4741235392320534,0.0008636706820755972,0.00202394901930401,0.00021362190627110294,0.002237570925575113,0.8196994991652755,0.0007827403269003612,0.0006408587903759532,0.00045164772187519374,0.001092506512251147,0.6010016694490818
